,Unnamed: 0_x,Unnamed: 0.1,Name_x,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10,Unnamed: 0_y,#JCAT,Satcat,Piece,Type,Name_y,LDate,SDate,Primary,DDate,Status,Owner,State,Manufacturer,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,LYear,DYear,OBJECT_ID,NORAD_CAT_ID,COUNTRY,RCS_SIZE,large_event
0,0,,Zenit-2 second stage,28 Dec 1985,Propulsion,1985-121F,0.0,,,,04 Dec 2017,,16418.0,S16439,16439.0,1985-121F,C  F        ,Sep Motor Cover,1985 Dec 28,1985 Dec 28 0933?,Earth,1990 Apr  4,R,GUKOS,SU,YUZH,1.0,?,1.0,?,0.0,?,0.0, ,1.0,?,1.0,?,Cone,1986 Jan 29,421.0, ,     849, ,71.01, ,LEO/I,1985.0,1990.0,1985-121F,16439.0,CIS,LARGE,0.0
1,1,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),15 Feb 1998,Propulsion,1987-068B,107.0,41.0,13358.0,346.0,24 Oct 2018,,18292.0,S18313,18313.0,1987-068B,R3          ,S5M,1987 Aug 18,1987 Aug 18 0234?,Earth,2100,O,UNKS,SU,YUZH,1600.0, ,1600.0, ,1600.0, ,2.8, ,2.2, ,2.8, ,Cyl,1987 Sep 17,942.0, ,     957, ,82.56, ,LEO/I,1987.0,2100.0,1987-068B,18313.0,CIS,LARGE,1.0
2,2,,Cosmos-886,27 Dec 1976,Deliberate,1976-126A,77.0,57.0,9674.0,190.0,24 Oct 2018,,9625.0,S09634,9634.0,1976-126A,P           ,Kosmos-886,1976 Dec 27,1976 Dec 27 1210,Earth,1976 Dec 27 1532,E,PKO,SU,KOMET,1400.0, ,1400.0,?,1400.0, ,4.2,?,1.8,?,4.2,?,Cyl + Truss,1977 Jan  7,595.0, ,    2310, ,65.83, ,LEO/I,1976.0,1976.0,1976-126A,9634.0,CIS,LARGE,1.0
3,3,,Cosmos-903,08 Jun 1978,Accidental,1977-027A,5.0,3.0,3078.0,176.0,24 Oct 2018,,9902.0,S09911,9911.0,1977-027A,P           ,Kosmos-903,1977 Apr 11,1977 Apr 11 0241?,Earth,2014 Aug  4 0830?,R,PVO,SU,NPOL/KOMET,1250.0,?,1150.0,?,1250.0,?,4.0, ,2.0, ,5.0, ,Cyl + 2 Pan,1977 May 11,646.0, ,   39720, ,62.84, ,HEO/M,1977.0,2014.0,1977-027A,9911.0,CIS,LARGE,0.0
4,4,,Cosmos-917,30 Mar 1979,Accidental,1977-047A,13.0,11.0,2935.0,76.0,24 Oct 2018,,10050.0,S10059,10059.0,1977-047A,P           ,Kosmos-917,1977 Jun 16,1977 Jun 16 0301?,Earth,2100,O,PVO,SU,NPOL/KOMET,1250.0,?,1150.0,?,1250.0,?,4.0, ,2.0, ,5.0, ,Cyl + 2 Pan,1977 Jul 25,621.0, ,   39725, ,62.9, ,HEO/M,1977.0,2100.0,1977-047A,10059.0,CIS,LARGE,1.0
5,5,,DELTA P (Delta 2914),14 Jul 1977,Propulsion,1977-065B,177.0,58.0,16640.0,431.0,24 Oct 2018,,10135.0,S10144,10144.0,1977-065B,R2          ,Delta 132,1977 Jul 14,1977 Jul 14 1048,Earth,2100,E,GSFC,US,MDAC,845.0, ,845.0, ,845.0, ,6.0, ,1.4, ,6.0, ,Cyl + Skirt + Nozzle,1993 Aug  5,516.0, ,    1810, ,29.09, ,LEO/I,1977.0,2100.0,1977-065B,10144.0,US,LARGE,1.0
6,6,,Cosmos-931,24 Oct 1977,Accidental,1977-068A,5.0,4.0,3049.0,206.0,24 Oct 2018,,10141.0,S10150,10150.0,1977-068A,P           ,Kosmos-931,1977 Jul 20,1977 Jul 20 0547?,Earth,2100,O,PVO,SU,NPOL/KOMET,1250.0,?,1150.0,?,1250.0,?,4.0, ,2.0, ,5.0, ,Cyl + 2 Pan,1977 Aug 19,637.0, ,   39719, ,62.8, ,HEO/M,1977.0,2100.0,1977-068A,10150.0,CIS,LARGE,0.0
7,7,,Ekran 2,23 Jun 1978,Electrical,1977-092A,4.0,4.0,3089.0,165.0,24 Oct 2018,,10356.0,S10365,10365.0,1977-092A,P           ,Ekran,1977 Sep 20,1977 Sep 21 0005?,Earth,2100,O,MSVYAZ,SU,NPOPM,2000.0, ,1850.0,?,2000.0, ,5.5,?,2.5,?,9.0,?,Cyl + 2 Pan + Plate,1977 Nov  1,35770.0, ,   35803, ,0.33, ,GEO/S,1977.0,2100.0,1977-092A,10365.0,CIS,LARGE,0.0
8,8,,Cosmos-970,21 Dec 1977,Deliberate,1977-121A,69.0,63.0,11464.0,225.0,24 Oct 2018,,10522.0,S10531,10531.0,1977-121A,P           ,Kosmos-970,1977 Dec 21,1977 Dec 21 1040,Earth,1977 Dec 21 1710,E,PKO,SU,KOMET,1400.0, ,1400.0,?,1400.0, ,4.2,?,1.8,?,4.2,?,Cyl + Truss,1978 Jan  6,937.0, ,    1139, ,65.86, ,LEO/I,1977.0,1977.0,1977-121A,10531.0,CIS,LARGE,1.0
9,9,,DELTA P (Delta 2910),27 Jan 1981,Propulsion,1978-026C,247.0,152.0,29988.0,773.0,24 Oct 2018,,10695.0,S10704,10704.0,1978-026C,R2          ,Delta 139,1978 Mar  5,1978 Mar  5 1805,Earth,1981 Jan 27,E,GSFC,US,MDAC,845.0, ,845.0, ,845.0, ,6.0, ,1.4, ,6.0, ,Cyl + Skirt + Nozzle,1991 Mar 11,668.0, ,     875, ,98.63, ,LEO/S,1978.0,1981.0,1978-026C,10704.0,US,LARGE,1.0
