,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
0,,Zenit-2 second stage,28 Dec 1985,Propulsion,1985-121F,,,,,04 Dec 2017,
1,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),15 Feb 1998,Propulsion,1987-068B,107.0,41.0,13358.0,346.0,24 Oct 2018,
2,,Cosmos-886,27 Dec 1976,Deliberate,1976-126A,77.0,57.0,9674.0,190.0,24 Oct 2018,
3,,Cosmos-903,08 Jun 1978,Accidental,1977-027A,5.0,3.0,3078.0,176.0,24 Oct 2018,
4,,Cosmos-917,30 Mar 1979,Accidental,1977-047A,13.0,11.0,2935.0,76.0,24 Oct 2018,
5,,DELTA P (Delta 2914),14 Jul 1977,Propulsion,1977-065B,177.0,58.0,16640.0,431.0,24 Oct 2018,
6,,Cosmos-931,24 Oct 1977,Accidental,1977-068A,5.0,4.0,3049.0,206.0,24 Oct 2018,
7,,Ekran 2,23 Jun 1978,Electrical,1977-092A,4.0,4.0,3089.0,165.0,24 Oct 2018,
8,,Cosmos-970,21 Dec 1977,Deliberate,1977-121A,69.0,63.0,11464.0,225.0,24 Oct 2018,
9,,DELTA P (Delta 2910),27 Jan 1981,Propulsion,1978-026C,247.0,152.0,29988.0,773.0,24 Oct 2018,
10,,Cosmos-1030,10 Oct 1978,Accidental,1978-083A,12.0,9.0,1129.0,30.0,24 Oct 2018,
11,,DELTA P (Delta 2910),26 Dec 1981,Propulsion,1978-098B,1.0,,247.0,7.0,24 Oct 2018,
12,,H10 (Ariane 3),19 Sep 1987,Propulsion,1987-078C,3.0,1.0,282.0,8.0,24 Oct 2018,
13,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),09 May 1988,Propulsion,1978-100D,40.0,31.0,9474.0,246.0,24 Oct 2018,
14,,Solwind,13 Sep 1985,Deliberate,1979-017A,284.0,,34172.0,667.0,24 Oct 2018,
15,,Cosmos-1094,17 Sep 1979,Unknown,1979-033A,,,,,04 Dec 2017,
16,,Cosmos-1109,15 Feb 1980,Accidental,1979-058A,18.0,7.0,2270.0,60.0,24 Oct 2018,
17,,Cosmos-1124,09 Sep 1979,Accidental,1979-077A,4.0,3.0,376.0,10.0,24 Oct 2018,
18,,H8 (Ariane 1),31 Mar 1980,Propulsion,1979-104B,32.0,25.0,3011.0,78.0,24 Oct 2018,
19,,Cosmos-1167,15 Jul 1981,Unknown,1980-021A,11.0,,1035.0,27.0,24 Oct 2018,
20,,Cosmos-1172,23 Dec 1997,Aerodynamics,1980-028A,,,,,04 Dec 2017,
21,,Cosmos-1174,18 Apr 1980,Deliberate,1980-030A,45.0,3.0,3089.0,161.0,24 Oct 2018,
22,,Cosmos-1191,14 May 1981,Accidental,1980-057A,10.0,10.0,15889.0,411.0,24 Oct 2018,
23,,Proton-K/DM-2 ullage motor (SOZ),01 Dec 1996,Propulsion,1987-079G,54.0,19.0,3121.0,132.0,24 Oct 2018,
24,,Cosmos-1217,12 Feb 1983,Accidental,1980-085A,9.0,7.0,14301.0,370.0,24 Oct 2018,
25,,Cosmos-1220,20 Jun 1982,Unknown,1980-089A,82.0,1.0,3054.0,200.0,24 Oct 2018,
26,,Cosmos-1220,25 Aug 1982,Unknown,1980-089A,82.0,1.0,3054.0,200.0,24 Oct 2018,
27,,Cosmos-1247,20 Oct 1981,Accidental,1981-016A,6.0,5.0,9537.0,247.0,24 Oct 2018,
28,,Cosmos-1260,08 May 1982,Unknown,1981-028A,67.0,,3090.0,164.0,24 Oct 2018,
29,,Cosmos-1260,10 Aug 1982,Unknown,1981-028A,67.0,,3090.0,164.0,24 Oct 2018,
30,,Cosmos-1261,31 Mar 1981,Accidental,1981-031A,9.0,9.0,12737.0,330.0,24 Oct 2018,
31,,Cosmos-1275,24 Jul 1981,Electrical,1981-053A,478.0,420.0,60390.0,1556.0,24 Oct 2018,
32,,Cosmos-1278,30 Nov 1986,Accidental,1981-058A,2.0,,3170.0,82.0,24 Oct 2018,
33,,Cosmos-1285,21 Nov 1981,Accidental,1981-071A,24.0,24.0,33217.0,857.0,24 Oct 2018,
34,,Cosmos-1906,31 Jan 1988,Deliberate,1987-108A,36.0,,3163.0,89.0,24 Oct 2018,
35,,Cosmos-1286,29 Sep 1982,Unknown,1981-072A,1.0,,188.0,5.0,24 Oct 2018,
36,,Blok-ML (Molniya-M Blok-ML),11 Sep 1981,Propulsion,1981-088F,2.0,2.0,265.0,7.0,24 Oct 2018,
37,,Cosmos-1306,12 Jul 1982,Unknown,1981-089A,7.0,,659.0,17.0,24 Oct 2018,
38,,Cosmos-1306,18 Sep 1982,Unknown,1981-089A,7.0,,659.0,17.0,24 Oct 2018,
39,,Cosmos-1317,28 Jan 1984,Accidental,1981-108A,10.0,10.0,15889.0,411.0,24 Oct 2018,
40,,Cosmos-1355,08 Aug 1983,Unknown,1982-038A,28.0,,2634.0,69.0,24 Oct 2018,
41,,Cosmos-1355,01 Feb 1984,Unknown,1982-038A,28.0,,2634.0,69.0,24 Oct 2018,
42,,Cosmos-1355,20 Feb 1984,Unknown,1982-038A,28.0,,2634.0,69.0,24 Oct 2018,
43,,Cosmos-1375,21 Oct 1985,Electrical,1982-055A,60.0,57.0,3054.0,201.0,24 Oct 2018,
44,,Cosmos-1405,20 Dec 1983,Unknown,1982-088A,31.0,,2916.0,76.0,24 Oct 2018,
45,,Proton-K/DM-2 ullage motor (SOZ),22 May 1997,Propulsion,1987-109E,,,,,04 Dec 2017,
46,,Blok-ML (Molniya-M Blok-ML),08 Dec 1982,Propulsion,1982-115E,29.0,,2728.0,71.0,24 Oct 2018,
47,,Proton-K/D-1 ullage motor (SOZ),03 Sep 1984,Propulsion,1983-020B,,,,,04 Dec 2017,
48,,NOAA 8,30 Dec 1985,Electrical,1983-022A,12.0,3.0,1356.0,35.0,24 Oct 2018,
49,,Cosmos-1456,13 Aug 1983,Accidental,1983-038A,3.0,,3163.0,89.0,24 Oct 2018,
50,,Cosmos-1461,11 Mar 1985,Unknown,1983-044A,186.0,13.0,17486.0,451.0,24 Oct 2018,
51,,Cosmos-1461,13 May 1985,Unknown,1983-044A,186.0,13.0,17486.0,451.0,24 Oct 2018,
52,,Cosmos-1481,09 Jul 1983,Accidental,1983-070A,6.0,6.0,3132.0,121.0,24 Oct 2018,
53,,Cosmos-1484,18 Oct 1993,Unknown,1983-075A,48.0,,3135.0,117.0,24 Oct 2018,
54,,Proton-K/DM-2 ullage motor (SOZ),04 Feb 1991,Propulsion,1983-127H,7.0,2.0,659.0,17.0,24 Oct 2018,
55,,PAM-D (Palapa B2) (Challenger (OV-099)),06 Feb 1984,Propulsion,1984-011E,17.0,,,,04 Dec 2017,
56,,Cosmos-1916,27 Feb 1988,Deliberate,1988-007A,,,,,04 Dec 2017,
57,,PAM-D (Westar VI) (Challenger (OV-099)),03 Feb 1984,Propulsion,1984-011F,17.0,,,,04 Dec 2017,
58,,Cosmos-1588,23 Feb 1986,Unknown,1984-083A,44.0,,3145.0,107.0,24 Oct 2018,
59,,Proton-K/DM-2 ullage motor (SOZ),05 Sep 1992,Propulsion,1984-106F,23.0,1.0,2663.0,69.0,24 Oct 2018,
60,,Cosmos-1646,20 Nov 1987,Unknown,1985-030A,23.0,,2164.0,57.0,24 Oct 2018,
61,,Proton-K/DM-2 ullage motor (SOZ),29 Nov 1998,Propulsion,1985-037G,3.0,1.0,282.0,8.0,24 Oct 2018,
62,,Cosmos-1654,21 Jun 1985,Deliberate,1985-039A,17.0,,1599.0,42.0,24 Oct 2018,
63,,Proton-K/DM-2 ullage motor (SOZ),05 Jan 1988,Propulsion,1985-042E,5.0,5.0,567.0,15.0,24 Oct 2018,
64,,Cosmos-1682,18 Dec 1986,Unknown,1985-082A,22.0,,2070.0,54.0,24 Oct 2018,
65,,Molniya 3-26,21 Feb 2001,Aerodynamics,1985-091A,,,,,04 Dec 2017,
66,,Cosmos-1691,22 Nov 1985,Electrical,1985-094B,20.0,17.0,3161.0,91.0,24 Oct 2018,
67,,Proton-K/DM-2 ullage motor (SOZ),09 Mar 1999,Propulsion,1988-085G,78.0,9.0,3064.0,190.0,24 Oct 2018,
68,,Cosmos-1701,29 Apr 2001,Aerodynamics,1985-105A,,,,,04 Dec 2017,
69,,Molniya 1-82,01 Oct 2004,Aerodynamics,1991-053A,,,,,04 Dec 2017,
