Fiscal Year,Request,Actual,,,,,,,,,,,,,,,,,,,,,,
1959,27.43,437.27,,,,,,,,,,,,,,,,,,,,,,
1960,,657.43,,,,,,,,,,,,,,,,,,,,,,
1961,573.39,1159.76,,,,,,,,,,,,,,,,,,,,,,
1962,1272.97,1982.18,,,,,,,,,,,,,,,,,,,,,,
1963,3238.40,2637.48,,,,,,,,,,,,,,,,,,,,,,
1964,3654.41,3027.69,,,,,,,,,,,,,,,,,,,,,,
1965,3290.88,2931.00,,,,,,,,,,,,,,,,,,,,,,
1966,3043.81,2896.85,,,,,,,,,,,,,,,,,,,,,,
1967,2569.02,2149.60,,,,,,,,,,,,,,,,,,,,,,
1968,2262.57,1466.46,,,,,,,,,,,,,,,,,,,,,,
1969,1060.40,896.15,,,,,,,,,,,,,,,,,,,,,,
1970,1374.57,1343.71,,,,,,,,,,,,,,,,,,,,,,
1971,1284.97,1341.36,,,,,,,,,,,,,,,,,,,,,,
1972,2505.63,2367.94,,,,,,,,,,,,,,,,,,,,,,
1973,2581.52,2716.52,,,,,,,,,,,,,,,,,,,,,,
1974,2478.99,2964.92,,,,,,,,,,,,,,,,,,,,,,
1975,1669.18,1659.21,,,,,,,,,,,,,,,,,,,,,,
1976,1615.61,1571.77,,,,,,,,,,,,,,,,,,,,,,
1977,1060.28,1087.56,,,,,,,,,,,,,,,,,,,,,,
1978,729.81,682.08,,,,,,,,,,,,,,,,,,,,,,
1979,769.92,750.58,,,,,,,,,,,,,,,,,,,,,,
1980,818.48,817.37,,,,,,,,,,,,,,,,,,,,,,
1981,606.33,592.83,,,,,,,,,,,,,,,,,,,,,,
1982,674.32,642.06,,,,,,,,,,,,,,,,,,,,,,
1983,454.99,530.92,,,,,,,,,,,,,,,,,,,,,,
1984,573.48,606.98,,,,,,,,,,,,,,,,,,,,,,
1985,774.92,785.72,,,,,,,,,,,,,,,,,,,,,,
1986,941.30,927.14,,,,,,,,,,,,,,,,,,,,,,
1987,942.86,924.98,,,,,,,,,,,,,,,,,,,,,,
1988,735.06,783.86,,,,,,,,,,,,,,,,,,,,,,
1989,1055.20,962.09,,,,,,,,,,,,,,,,,,,,,,
1990,1632.32,1081.18,,,,,,,,,,,,,,,,,,,,,,
1991,1341.53,1248.78,,,,,,,,,,,,,,,,,,,,,,
1992,1563.92,1189.82,,,,,,,,,,,,,,,,,,,,,,
1993,955.15,920.92,,,,,,,,,,,,,,,,,,,,,,
1994,1192.67,1439.59,,,,,,,,,,,,,,,,,,,,,,
1995,1584.75,1500.21,,,,,,,,,,,,,,,,,,,,,,
1996,1468.52,1479.16,,,,,,,,,,,,,,,,,,,,,,
1997,1204.01,1183.90,,,,,,,,,,,,,,,,,,,,,,
1998,,1205.40,,,,,,,,,,,,,,,,,,,,,,
1999,,1312.39,,,,,,,,,,,,,,,,,,,,,,
2000,,1461.46,,,,,,,,,,,,,,,,,,,,,,
2001,,1800.37,,,,,,,,,,,,,,,,,,,,,,
2002,,1529.90,,,,,,,,,,,,,,,,,,,,,,
2003,2166.19,2264.46,,,,,,,,,,,,,,,,,,,,,,
2004,2742.90,2715.31,,,,,,,,,,,,,,,,,,,,,,
2005,2697.76,2374.29,,,,,,,,,,,,,,,,,,,,,,
2006,2543.00,2278.48,,,,,,,,,,,,,,,,,,,,,,
2007,2073.81,1827.41,,,,,,,,,,,,,,,,,,,,,,
2008,1736.38,1633.00,,,,,,,,,,,,,,,,,,,,,,
2009,1627.72,1571.48,,,,,,,,,,,,,,,,,,,,,,
2010,1620.82,1642.74,,,,,,,,,,,,,,,,,,,,,,
2011,1760.55,1719.20,,,,,,,,,,,,,,,,,,,,,,
2012,1805.70,1759.64,,,,,,,,,,,,,,,,,,,,,,
2013,1377.11,1406.21,,,,,,,,,,,,,,,,,,,,,,
2014,1379.43,1524.68,,,,,,,,,,,,,,,,,,,,,,
2015,1421.02,1605.84,,,,,,,,,,,,,,,,,,,,,,
2016,1490.51,1782.66,,,,,,,,,,,,,,,,,,,,,,
2017,1632.71,1964.56,,,,,,,,,,,,,,,,,,,,,,
2018,2025.98,2328.80,,,,,,,,,,,,,,,,,,,,,,
2019,2292.80,2818.11,,,,,,,,,,,,,,,,,,,,,,
2020,2712.10,#REF!,,,,,,,,,,,,,,,,,,,,,,
2021,2659.60,,,,,,,,,,,,,,,,,,,,,,,
2022,2800.90,,,,,,,,,,,,,,,,,,,,,,,
2023,2714.90,,,,,,,,,,,,,,,,,,,,,,,
2024,2904.80,,,,,,,,,,,,,,,,,,,,,,,
2025,2830.70,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
