OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2020-061BJ","FLOCK 4V 20","46612","US","95.07","97.47","528","515","","0","2020-09-03",""
"2020-071B","OBJECT B","46611","PRC","603.53","28.50","34413","145","","0","2020-10-11",""
"2020-071A","OBJECT A","46610","PRC","631.71","28.53","35836","183","","0","2020-10-11",""
"2020-061BH","FLOCK 4V 19","46609","US","95.00","97.46","522","515","","0","2020-09-03",""
"2018-079CG","ATLAS 5 CENTAUR DEB","46608","US","803.02","11.37","35576","8905","","0","2018-10-17",""
"2018-079CF","ATLAS 5 CENTAUR DEB","46607","US","701.90","11.50","31667","7902","","0","2018-10-17",""
"2018-079CE","ATLAS 5 CENTAUR DEB","46606","US","802.74","11.37","35512","8955","","0","2018-10-17",""
"2018-079CD","ATLAS 5 CENTAUR DEB","46605","US","751.51","11.32","33209","8796","","0","2018-10-17",""
"2018-079CC","ATLAS 5 CENTAUR R/B DEB","46604","US","825.94","11.27","36187","9378","SMALL","0","2018-10-17",""
"2018-079CB","ATLAS 5 CENTAUR R/B DEB","46603","US","822.17","11.68","35894","9493","","0","2018-10-17",""
"2018-079CA","ATLAS 5 CENTAUR R/B DEB","46602","US","804.27","11.36","35659","8880","","0","2018-10-17",""
"2018-079BZ","ATLAS 5 CENTAUR R/B DEB","46601","US","775.10","11.22","34421","8725","","0","2018-10-17",""
"2018-084CT","H-2A DEB","46600","JPN","96.35","97.78","631","537","","0","2018-10-29",""
"2018-084CS","H-2A DEB","46599","JPN","95.02","97.81","521","518","","0","2018-10-29",""
"2018-084CR","H-2A DEB","46598","JPN","95.10","97.79","528","519","","0","2018-10-29",""
"2020-061BG","FLOCK 4V 18","46597","US","95.06","97.47","528","515","","0","2020-09-03",""
"2020-069A","CYGNUS NG-14","46530","US","92.95","51.64","420","418","","0","2020-10-03",""
"2020-061BF","FLOCK 4V 17","46529","US","94.99","97.46","522","515","","0","2020-09-03",""
"2020-061BE","FLOCK 4V 15","46528","US","94.98","97.46","521","515","","0","2020-09-03",""
"2020-061BD","FLOCK 4V 16","46527","US","95.08","97.47","530","515","","0","2020-09-03",""
"2011-037ME","FREGAT DEB","46526","CIS","144.68","51.46","4741","760","","0","2011-07-18",""
"2011-037MD","FREGAT DEB","46525","CIS","154.80","51.69","4360","1984","","0","2011-07-18",""
"2011-037MC","FREGAT DEB","46524","CIS","136.29","51.63","4009","780","","0","2011-07-18",""
"2011-037MB","FREGAT DEB","46523","CIS","147.86","51.89","4901","868","","0","2011-07-18",""
"2011-037MA","FREGAT DEB","46522","CIS","132.14","51.15","3428","1003","","0","2011-07-18",""
"2011-037LZ","FREGAT DEB","46521","CIS","148.07","51.97","4833","953","","0","2011-07-18",""
"2011-037LY","FREGAT DEB","46520","CIS","149.59","51.71","5093","821","","0","2011-07-18",""
"2011-037LX","FREGAT DEB","46519","CIS","147.17","51.50","5136","575","","0","2011-07-18",""
"2011-037LW","FREGAT DEB","46518","CIS","147.03","51.42","4729","970","","0","2011-07-18",""
"2011-037LV","FREGAT DEB","46517","CIS","159.32","51.24","5950","764","","0","2011-07-18",""
"1994-074BC","RESURS 01 DEB","46516","CIS","97.25","97.92","633","621","","0","1994-11-04",""
"1994-074BB","RESURS 01 DEB","46515","CIS","97.27","97.92","633","624","","0","1994-11-04",""
"1994-074BA","RESURS 01 DEB","46514","CIS","97.32","97.92","633","627","","0","1994-11-04",""
"1994-074AZ","RESURS 01 DEB","46513","CIS","97.22","97.95","627","624","","0","1994-11-04",""
"1994-074AY","RESURS 01 DEB","46512","CIS","97.34","97.92","633","630","","0","1994-11-04",""
"1994-074AX","RESURS 01 DEB","46511","CIS","97.32","97.92","633","629","","0","1994-11-04",""
"1994-074AW","RESURS 01 DEB","46510","CIS","97.38","97.92","638","628","","0","1994-11-04",""
"1994-074AV","RESURS 01 DEB","46509","CIS","97.37","97.92","637","629","","0","1994-11-04",""
"1994-074AU","RESURS 01 DEB","46508","CIS","97.31","97.92","632","627","","0","1994-11-04",""
"2020-068X","OBJECT U","46507","TBD","95.89","97.67","569","554","","0","2020-09-28",""
"2020-068W","OBJECT T","46506","TBD","95.89","97.67","569","554","","0","2020-09-28",""
"2020-068V","OBJECT S","46505","TBD","95.88","97.67","569","554","","0","2020-09-28",""
"2020-068U","OBJECT R","46504","TBD","95.88","97.67","569","554","","0","2020-09-28",""
"2020-068T","LEMUR-2-NICHOL","46503","US","95.87","97.67","569","553","","0","2020-09-28",""
"2020-068S","LEMUR-2-SUSURRUS","46502","US","95.87","97.67","568","553","","0","2020-09-28",""
"2020-068R","LEMUR-2-DAYWZAGOODDAY","46501","US","95.86","97.67","568","552","","0","2020-09-28",""
"2020-068Q","LEMUR-2-SLICERS","46500","US","95.86","97.67","568","552","","0","2020-09-28",""
"2020-068P","KEPLER-5 (AMIDALA)","46499","CA","95.86","97.67","568","552","","0","2020-09-28",""
"2020-068N","KEPLER-5 (ANTILLES)","46498","CA","95.85","97.67","568","551","","0","2020-09-28",""
"2020-068M","ICEYE-X6","46497","FIN","95.82","97.67","568","548","","0","2020-09-28",""
"2020-068L","ICEYE-X7","46496","FIN","95.82","97.66","568","548","","0","2020-09-28",""
"2020-068K","OBJECT G","46495","TBD","95.79","97.66","568","546","","0","2020-09-28",""
"2020-068J","OBJECT F","46494","TBD","95.79","97.67","569","545","","0","2020-09-28",""
"2020-068H","OBJECT E","46493","TBD","95.78","97.67","569","544","","0","2020-09-28",""
"2020-068G","OBJECT D","46492","TBD","95.78","97.67","569","544","","0","2020-09-28",""
"2020-068F","OBJECT C","46491","TBD","95.78","97.67","569","544","","0","2020-09-28",""
"2020-068E","OBJECT B","46490","TBD","95.78","97.67","569","544","","0","2020-09-28",""
"2020-068D","OBJECT A","46489","TBD","95.77","97.66","568","544","","0","2020-09-28",""
"2020-068C","GONETS M 19","46488","CIS","115.86","82.50","1504","1484","","0","2020-09-28",""
"2020-068B","GONETS M 18","46487","CIS","115.89","82.50","1505","1486","","0","2020-09-28",""
"2020-068A","GONETS M 17","46486","CIS","116.03","82.50","1512","1492","","0","2020-09-28",""
"2018-079BY","ATLAS 5 CENTAUR R/B DEB","46485","US","715.47","11.93","32466","7775","","0","2018-10-17",""
"2020-067G","CZ-4B DEB","46484","PRC","97.39","97.88","670","598","","0","2020-09-27",""
"2020-067F","CZ-4B DEB","46483","PRC","96.34","97.96","652","514","","0","2020-09-27",""
"2020-067E","CZ-4B DEB","46482","PRC","97.07","98.03","678","559","","0","2020-09-27",""
"2020-067D","CZ-4B R/B","46481","PRC","95.47","97.96","654","429","","0","2020-09-27",""
"2020-067C","CZ-4B DEB","46480","PRC","97.24","97.98","653","601","","0","2020-09-27",""
"2020-067B","HJ-2B","46479","PRC","97.50","98.05","656","622","","0","2020-09-27",""
"2020-067A","HJ-2A","46478","PRC","97.58","98.05","656","630","","0","2020-09-27",""
"2018-084CN","H-2A DEB","46475","JPN","94.81","97.83","535","484","","0","2018-10-29",""
"2018-084CM","H-2A DEB","46474","JPN","96.25","97.80","641","517","","0","2018-10-29",""
"2018-084CL","H-2A DEB","46473","JPN","95.47","97.81","544","539","","0","2018-10-29",""
"2020-066D","CZ-4B DEB","46472","PRC","103.49","65.91","945","903","","0","2020-09-21",""
"2020-066C","CZ-4B DEB","46471","PRC","103.70","66.08","964","904","","0","2020-09-21",""
"2020-066B","CZ-4B R/B","46470","PRC","100.80","66.06","942","651","","0","2020-09-21",""
"2020-066A","HAIYANG 2C","46469","PRC","104.09","66.00","960","944","","0","2020-09-21",""
"1999-025EZK","FENGYUN 1C DEB","46468","PRC","102.10","98.98","899","817","","0","1999-05-10",""
